algorithm;filename;time_milliseconds;;;;;;;;;;;;;;
bubble;.\numeros_invertidos_1250000.txt;1084873;;;;;;;;;;;;;;
bubble;.\numeros_invertidos_1350000.txt;1266255;;;;;;;;;;;;;;
bubble;.\numeros_invertidos_750000.txt;372700;;;;;;;;;;;;;;
bubble;.\numeros_invertidos_850000.txt;483917;;;;;;;;;;;;;;
bubble;.\numeros_invertidos_950000.txt;607129;;;;;;;;;;;;;;
bubble;.\numeros_ordenados_1250000.txt;0;;;;;;;;;;;;;;
bubble;.\numeros_ordenados_1350000.txt;0;;;;;;;;;;;;;;
bubble;.\numeros_ordenados_750000.txt;0;;;;;;;;;;;;;;
bubble;.\numeros_ordenados_850000.txt;0;;;;;;;;;;;;;;
bubble;.\numeros_ordenados_950000.txt;0;;;;;;;;;;;;;;
bubble;.\numeros_randomicos_1250000.txt;2181504;;;;;;;;;;;;;;
bubble;.\numeros_randomicos_1350000.txt;2545733;;;;;;;;;;;;;;
bubble;.\numeros_randomicos_750000.txt;772452;;;;;;;;;;;;;;
bubble;.\numeros_randomicos_850000.txt;997231;;;;;;;;;;;;;;
bubble;.\numeros_randomicos_950000.txt;1248899;;;;;;;;;;;;;;
heap;.\numeros_invertidos_1250000.txt;113;;;;;;;;;;;;;;
heap;.\numeros_invertidos_1350000.txt;128;;;;;;;;;;;;;;
heap;.\numeros_invertidos_750000.txt;71;;;;;;;;;;;;;;
heap;.\numeros_invertidos_850000.txt;79;;;;;;;;;;;;;;
heap;.\numeros_invertidos_950000.txt;90;;;;;;;;;;;;;;
heap;.\numeros_ordenados_1250000.txt;111;;;;;;;;;;;;;;
heap;.\numeros_ordenados_1350000.txt;121;;;;;;;;;;;;;;
heap;.\numeros_ordenados_750000.txt;69;;;;;;;;;;;;;;
heap;.\numeros_ordenados_850000.txt;71;;;;;;;;;;;;;;
heap;.\numeros_ordenados_950000.txt;83;;;;;;;;;;;;;;
heap;.\numeros_randomicos_1250000.txt;228;;;;;;;;;;;;;;
heap;.\numeros_randomicos_1350000.txt;254;;;;;;;;;;;;;;
heap;.\numeros_randomicos_750000.txt;127;;;;;;;;;;;;;;
heap;.\numeros_randomicos_850000.txt;144;;;;;;;;;;;;;;
heap;.\numeros_randomicos_950000.txt;174;;;;;;;;;;;;;;
insertion;.\numeros_invertidos_1250000.txt;713476;;;;;;;;;;;;;;
insertion;.\numeros_invertidos_1350000.txt;785191;;;;;;;;;;;;;;
insertion;.\numeros_invertidos_750000.txt;218781;;;;;;;;;;;;;;
insertion;.\numeros_invertidos_850000.txt;288180;;;;;;;;;;;;;;
insertion;.\numeros_invertidos_950000.txt;362907;;;;;;;;;;;;;;
insertion;.\numeros_ordenados_1250000.txt;0;;;;;;;;;;;;;;
insertion;.\numeros_ordenados_1350000.txt;0;;;;;;;;;;;;;;
insertion;.\numeros_ordenados_750000.txt;0;;;;;;;;;;;;;;
insertion;.\numeros_ordenados_850000.txt;8;;;;;;;;;;;;;;
insertion;.\numeros_ordenados_950000.txt;0;;;;;;;;;;;;;;
insertion;.\numeros_randomicos_1250000.txt;317309;;;;;;;;;;;;;;
